name,brand,price,availability,url
Dougie 2g Loot Bar GOLDEN GOAT Liquid Diamonds All In One 2g Vaporizers,Dougie,40,InStock,https://www.treasurevalleycannabis.com/product/dougie-2g-loot-bar-golden-goat-liquid-diamonds-all-in-one-68af8da2b13e640007b467b0/
Killa Beez .5g LEMONADE/BLACK AMBER/31 FLAVORS #2 Killa Pre Roll 12pk 6g Pre-rolls,Killa Beez,25,InStock,https://www.treasurevalleycannabis.com/product/killa-beez-5g-lemonade-black-amber-31-flavors-2-killa-pre-roll-12pk-68ae031315728f0007381d76/
Wyld One 100mg 1:1 THC:CBN 100mg SOUR BLUEBERRY Indica Single Gummy 20g Edibles,Wyld,5.4,InStock,https://www.treasurevalleycannabis.com/product/wyld-one-100mg-1-1-thc-cbn-100mg-sour-blueberry-indica-single-gummy-68a733548a5c6e000761fb37/
Disco Dabs 1g RUNTZ x BURGER BREATH Groovy Doobie Diamond &#038; Crumble Infused Pre-Roll 1g Pre-rolls,Disco Dabs,12,InStock,https://www.treasurevalleycannabis.com/product/disco-dabs-1g-runtz-x-burger-breath-groovy-doobie-diamond-crumble-infused-pre-roll-68ae1f374db66b000720238f/
Wyld 100mg 20:1 CBD:THC STRAWBERRY Hybrid Gummies 10pk 40g Edibles,Wyld,18,InStock,https://www.treasurevalleycannabis.com/product/wyld-100mg-20-1-cbd-thc-strawberry-hybrid-gummies-10pk-68ae112315728f0007387215/
Keef 100mg HIGH OCTANE XTREME Cannabis Infused Classic Soda 12g Edibles,Keef,15,InStock,https://www.treasurevalleycannabis.com/product/keef-100mg-high-octane-xtreme-cannabis-infused-classic-soda-68af8da2b13e640007b467ad/
Entourage Cannabis 1.5g THE SOAP x PEACH JET FUEL Infused Pre-Roll 1.5g Pre-rolls,Entourage Cannabis,12,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-1-5g-the-soap-x-peach-jet-fuel-infused-pre-roll-68ae1f374db66b0007202389/
$100 Kiwi Z 1oz Flower,Gud Gardens,100,InStock,https://www.treasurevalleycannabis.com/product/100-kiwi-z-68ae2d4415728f0007390fe5/
Entourage Cannabis 1g CEREAL MILK CR Vape Cartridge 1g Vaporizers,Entourage Cannabis,22.4,InStock,https://www.treasurevalleycannabis.com/product/entourage-cannabis-1g-cereal-milk-cr-vape-cartridge-68af1c54e8f2300007657592/
Dougie 2g Loot Bar SONOMA COMA Liquid Diamonds All In One 2g Vaporizers,Dougie,40,InStock,https://www.treasurevalleycannabis.com/product/dougie-2g-loot-bar-sonoma-coma-liquid-diamonds-all-in-one-68af8da2b13e640007b467b3/
